descricao,discente,id_curso,id_turma,media_final,numero_total_faltas,reposicao,nome,periodoano
CANCELADO,3d688dbe74a84992ce43181e08c0f295,10320810.0,1242602,0.0,0.0,f,CÁLCULO I,20151
REPROVADO,6c4acceb9b1288b61d893dc1b5005764,10320810.0,1242602,0.0,0.0,f,CÁLCULO I,20151
APROVADO,bb67c2ca87d0e1fcf027b2f0f6df4221,10320810.0,1242602,8.5,0.0,f,CÁLCULO I,20151
APROVADO,bb67c2ca87d0e1fcf027b2f0f6df4221,10320810.0,1242602,8.5,0.0,t,CÁLCULO I,20151
REPROVADO,9897eefc366f1f546e5340390c3df0cd,10320810.0,1242602,1.3,0.0,f,CÁLCULO I,20151
APROVADO POR NOTA,3446cf05d7adb4aacf73f901c0e422f6,10320810.0,1242602,5.5,0.0,t,CÁLCULO I,20151
APROVADO POR NOTA,3446cf05d7adb4aacf73f901c0e422f6,10320810.0,1242602,5.5,0.0,f,CÁLCULO I,20151
REPROVADO,859abe9fcb5769f73f54cba6592b81af,10320810.0,1242602,1.7,0.0,f,CÁLCULO I,20151
APROVADO,4847ea230075170dc33c8607eab37780,10320810.0,1242602,8.0,0.0,f,CÁLCULO I,20151
APROVADO,10bd3053637b8e5150a822396f62f372,10320810.0,1242602,7.2,0.0,f,CÁLCULO I,20151
APROVADO,d00171e04d77a7994414014d941baf8c,10320810.0,1242602,10.0,0.0,f,CÁLCULO I,20151
APROVADO,87c8ed9b5ee46a87b620af169806703f,10320810.0,1242602,7.8,0.0,f,CÁLCULO I,20151
APROVADO,3ff085f94a31cdddd21d355d0d8f6438,10320810.0,1242602,10.0,0.0,f,CÁLCULO I,20151
APROVADO,bb7bc1c9d40935fe8d7d76f83d39ee62,10320810.0,1242602,10.0,0.0,f,CÁLCULO I,20151
REPROVADO,25c8907b429c654ed810ca9031c14549,10320810.0,1242602,1.3,0.0,f,CÁLCULO I,20151
REPROVADO POR MÉDIA E POR FALTAS,517dbbaf3d580da5bbf5448d1481ab68,10320810.0,1242602,0.0,46.0,f,CÁLCULO I,20151
REPROVADO POR MÉDIA E POR FALTAS,82066df556befa4882980ed00899a870,10320810.0,1242602,0.0,32.0,f,CÁLCULO I,20151
REPROVADO POR MÉDIA E POR FALTAS,13632b83e2828cf1f1e9bfea313476af,10320810.0,1242602,0.0,34.0,f,CÁLCULO I,20151
REPROVADO POR MÉDIA E POR FALTAS,48b6a5675c9d78610d48319ee53e7935,10320810.0,1242602,0.0,32.0,f,CÁLCULO I,20151
REPROVADO,9350b162f828ced95c6a20648678b201,10320810.0,1242602,3.5,0.0,f,CÁLCULO I,20151
REPROVADO,ec85838da3203031d69a99d50ec0bcf6,10320810.0,1242602,0.0,0.0,f,CÁLCULO I,20151
REPROVADO,af06bc7237db788f380924c0bdc5c5ae,10320810.0,1242602,1.0,0.0,f,CÁLCULO I,20151
CANCELADO,444892fa5cd6a07ffdda75f7c4a196d5,10320810.0,1242602,0.0,0.0,f,CÁLCULO I,20151
REPROVADO,3b6a8e51d523c36e5c4a37d57d268d30,10320810.0,1242602,0.7,0.0,f,CÁLCULO I,20151
REPROVADO POR MÉDIA E POR FALTAS,100914c9af99e164eb676e05676b12fa,10320810.0,1242602,0.0,34.0,f,CÁLCULO I,20151
REPROVADO POR MÉDIA E POR FALTAS,97afe16117f9727970d743e234e443ec,10320810.0,1242602,0.0,76.0,f,CÁLCULO I,20151
REPROVADO POR MÉDIA E POR FALTAS,d82319c3c4e183a5ba1ef14074abea7a,10320810.0,1242602,0.0,34.0,f,CÁLCULO I,20151
REPROVADO,ff8e4e7c73c14e26ad65865269ead334,10320810.0,1242602,2.0,0.0,f,CÁLCULO I,20151
CANCELADO,58c0b60aa36ba6f5a4beaa49295fc05d,10320810.0,1242602,0.0,34.0,f,CÁLCULO I,20151
REPROVADO POR MÉDIA E POR FALTAS,2c85197836856e2888bc691ae2b5762c,10320810.0,1242602,0.0,32.0,f,CÁLCULO I,20151
REPROVADO POR MÉDIA E POR FALTAS,24174d794c60c1729d7a35df10236994,10320810.0,1242602,0.0,34.0,f,CÁLCULO I,20151
CANCELADO,bb8add2351d10ee90e0c11956c8e2e24,10320810.0,1242602,1.3,0.0,f,CÁLCULO I,20151
REPROVADO,e24ca40d6a11fc91f46e9fd8f135d3b0,10320810.0,1242602,0.0,0.0,f,CÁLCULO I,20151
CANCELADO,db1487ab08945b94e789c7741f0f226a,10320810.0,1242602,0.0,34.0,f,CÁLCULO I,20151
