,discente,media_final,numero_total_faltas,descricao
0,3d688dbe74a84992ce43181e08c0f295,0.0,0.0,NÃO PRESENTE
1,6c4acceb9b1288b61d893dc1b5005764,0.0,0.0,NÃO PRESENTE
2,bb67c2ca87d0e1fcf027b2f0f6df4221,8.5,0.0,NÃO PRESENTE
3,9897eefc366f1f546e5340390c3df0cd,1.3,0.0,NÃO PRESENTE
4,3446cf05d7adb4aacf73f901c0e422f6,5.5,0.0,NÃO PRESENTE
5,859abe9fcb5769f73f54cba6592b81af,1.7,0.0,NÃO PRESENTE
6,4847ea230075170dc33c8607eab37780,8.0,0.0,APROVADO POR NOTA
7,10bd3053637b8e5150a822396f62f372,7.2,0.0,NÃO PRESENTE
8,d00171e04d77a7994414014d941baf8c,10.0,0.0,APROVADO POR NOTA
9,87c8ed9b5ee46a87b620af169806703f,7.8,0.0,APROVADO POR NOTA
11,3ff085f94a31cdddd21d355d0d8f6438,10.0,0.0,APROVADO POR NOTA
12,bb7bc1c9d40935fe8d7d76f83d39ee62,10.0,0.0,APROVADO
13,25c8907b429c654ed810ca9031c14549,1.3,0.0,NÃO PRESENTE
14,517dbbaf3d580da5bbf5448d1481ab68,0.0,46.0,NÃO PRESENTE
15,82066df556befa4882980ed00899a870,0.0,32.0,NÃO PRESENTE
16,13632b83e2828cf1f1e9bfea313476af,0.0,34.0,NÃO PRESENTE
17,48b6a5675c9d78610d48319ee53e7935,0.0,32.0,NÃO PRESENTE
18,9350b162f828ced95c6a20648678b201,3.5,0.0,NÃO PRESENTE
19,ec85838da3203031d69a99d50ec0bcf6,0.0,0.0,NÃO PRESENTE
20,af06bc7237db788f380924c0bdc5c5ae,1.0,0.0,NÃO PRESENTE
21,444892fa5cd6a07ffdda75f7c4a196d5,0.0,0.0,NÃO PRESENTE
22,3b6a8e51d523c36e5c4a37d57d268d30,0.7,0.0,NÃO PRESENTE
23,100914c9af99e164eb676e05676b12fa,0.0,34.0,NÃO PRESENTE
24,97afe16117f9727970d743e234e443ec,0.0,76.0,NÃO PRESENTE
25,d82319c3c4e183a5ba1ef14074abea7a,0.0,34.0,NÃO PRESENTE
26,ff8e4e7c73c14e26ad65865269ead334,2.0,0.0,NÃO PRESENTE
27,58c0b60aa36ba6f5a4beaa49295fc05d,0.0,34.0,NÃO PRESENTE
28,2c85197836856e2888bc691ae2b5762c,0.0,32.0,NÃO PRESENTE
29,24174d794c60c1729d7a35df10236994,0.0,34.0,NÃO PRESENTE
30,bb8add2351d10ee90e0c11956c8e2e24,1.3,0.0,NÃO PRESENTE
31,e24ca40d6a11fc91f46e9fd8f135d3b0,0.0,0.0,NÃO PRESENTE
32,db1487ab08945b94e789c7741f0f226a,0.0,34.0,NÃO PRESENTE
33,f0b5bc31bf2b1b0848e616f40018bc82,1.3,0.0,NÃO PRESENTE
34,98363491a13b8365455f7c873a4f90c5,2.0,0.0,NÃO PRESENTE
35,c3040a6592ef2cb2304a46f27c36a067,3.3,0.0,NÃO PRESENTE
36,601900921182f89571029a9e59d3cc1f,0.0,0.0,NÃO PRESENTE
37,8deca32e93a11e83a4f37bd6cc023093,0.0,34.0,NÃO PRESENTE
38,ceae4b41ca2db4afc06bf794e44d6ab3,0.0,0.0,NÃO PRESENTE
39,263aeb91eafa4738f4cccaf8e17b6e3b,0.0,0.0,NÃO PRESENTE
40,d1b2eebf5d6c544bb2bcee0f2247424e,8.7,0.0,NÃO PRESENTE
41,c8e7ab417bcd422a1f85d6b99ceeba1a,1.3,0.0,NÃO PRESENTE
42,0ab1e135c2ac2f12cc71d50b5d0865c7,0.0,0.0,NÃO PRESENTE
43,a9b45c955405bb887995bdb79054e458,7.7,0.0,NÃO PRESENTE
44,12e0d7dcac955cac21777761a52a6d0a,6.5,0.0,APROVADO POR NOTA
45,558c72fb2829cc20ff4d7b6a8f5f391d,2.3,0.0,NÃO PRESENTE
46,db6560af2b1538425add4e182fe0927e,10.0,0.0,APROVADO
47,68788c3f6177305dcac125541be8e9f7,8.7,0.0,NÃO PRESENTE
48,abba98a6ff5d8cc973ae927a36e7310d,0.0,0.0,NÃO PRESENTE
49,88864307748a9d6a1e8af90493d395ac,7.5,0.0,NÃO PRESENTE
50,9e7ca575a9f19958c10d6026ed22a876,6.8,0.0,NÃO PRESENTE
51,a658338e34ddaa5875747f36c334a1bb,7.2,0.0,NÃO PRESENTE
52,f7da15d2e7a89527a0fcac79e9160179,8.3,0.0,NÃO PRESENTE
53,9b141dc8a9bde036ab6c3d0caa25f199,7.2,0.0,REPROVADO
54,a9d31387559bee4f83742d0e17e57517,7.2,0.0,NÃO PRESENTE
55,f5aba3c9592542a087fa1f4fc0d50e1e,6.3,0.0,NÃO PRESENTE
56,a43c3495d397dcb48bbbe6ae6cd8b285,10.0,0.0,NÃO PRESENTE
57,d5236636d43cb234ef2b929de42974a1,0.0,0.0,NÃO PRESENTE
58,40e4720f53c067cf5ec56eb0f194c32d,10.0,0.0,APROVADO POR NOTA
60,7d744591f45bd39529003ebb7e76cbbe,0.0,32.0,NÃO PRESENTE
61,e749444b410bab4bf5c2a86bffaee6c7,9.3,0.0,APROVADO
62,cf8f762a5b095396a595e9b99558dd4e,6.0,0.0,APROVADO POR NOTA
63,a33cf7b06a80d07439948d5471ca7413,7.7,0.0,NÃO PRESENTE
64,09d6c8b7222c0e54190405cfc9682f6d,10.0,0.0,APROVADO
65,fdbc55a46a0f83faba352912e61ca710,8.3,0.0,NÃO PRESENTE
66,0e1b2c3f2fd6648ead93c2d270133215,0.0,34.0,NÃO PRESENTE
67,b9fa0e29a1a8b04f2829887aa7f67504,0.0,32.0,NÃO PRESENTE
68,7b52d554ab1c24305d71da8b5790409c,0.0,34.0,NÃO PRESENTE
69,168cd342fa825014aa410bee3127c557,0.0,34.0,NÃO PRESENTE
70,2c82f915d5a13583a623d0faebdbb8ba,0.0,0.0,NÃO PRESENTE
71,fee4a0cbee8b5e032929279c47dbd616,2.0,0.0,NÃO PRESENTE
72,577923be3aa36453b7dabc3b8869428e,1.3,0.0,NÃO PRESENTE
