discente,media_final,numero_total_faltas,descricao
fff8c402febf8217f10b5c1e57dfb522,0.0,23.0,NÃO PRESENTE
8c30c4b9e0af918e4f53a2d9a42c4c79,0.0,11.0,NÃO PRESENTE
e0830e6363b8c6a692d3aea55eab73c1,7.3,6.0,REPROVADO
d8243b81383dd60e040409fbc4e945ba,0.7,20.0,NÃO PRESENTE
bdebb61a1a1008a50b53bb0418c7d843,1.6,8.0,NÃO PRESENTE
a1412fc6b3fc29909f80c0869c8eae6f,0.8,0.0,NÃO PRESENTE
52e82d51ca5675f0cd42a67ab67170e3,0.0,39.0,NÃO PRESENTE
d5986d7ca63fc1a0c90d2343504d2f1e,0.0,58.0,NÃO PRESENTE
0f2ad2712ea111869052396fd27a5d2c,0.0,64.0,NÃO PRESENTE
6407e59309ef981ffc762d6dd065a593,0.0,30.0,NÃO PRESENTE
c9ded8a84a4412390c2b490fa372e2f9,0.0,62.0,NÃO PRESENTE
6adae9884c6e1242c3bf854a8dd66997,0.0,64.0,NÃO PRESENTE
3a0e2fa5a1af2de46016efce89c5db1b,0.0,33.0,NÃO PRESENTE
f2bbf7e170af3cf6725eff1238e69314,0.0,48.0,NÃO PRESENTE
4034d82488bcf916ad510133580d73ff,0.0,27.0,NÃO PRESENTE
60c41c2d477f67ae457465dd8124b75d,0.0,44.0,NÃO PRESENTE
e042266dca7a884d9a0bb0119decbaea,0.0,25.0,NÃO PRESENTE
d036c3fdcd4000424ca0c1870e2ce389,0.0,60.0,NÃO PRESENTE
e7a2f74be3f106375394e867967a6de8,0.0,36.0,NÃO PRESENTE
9c2f4a51c69d9751be62992ae6d6fbed,0.0,28.0,NÃO PRESENTE
e13b73283d82c791f427401098d4b13b,0.7,12.0,NÃO PRESENTE
3549c52810aa34c673855d825c7b14ad,0.0,62.0,NÃO PRESENTE
0961a609f1b6b9dbf6733c664fb06a40,0.0,14.0,NÃO PRESENTE
5492368f709d0da9532c316100b9c688,0.0,31.0,NÃO PRESENTE
d70c8d66aafb62772344839c892092d9,0.0,34.0,NÃO PRESENTE
aee3fb54acb6895c073f13429db46e67,0.0,8.0,NÃO PRESENTE
8cc7cb224efab06b849302fbff01af4d,0.0,19.0,NÃO PRESENTE
0d94b6fcad99a9157517c84edfbcbb8d,0.0,35.0,NÃO PRESENTE
0229591e3b5d8d118ca945794774159a,0.7,25.0,NÃO PRESENTE
