discente,periodoano,media_c1,faltas_c1,media_pre,faltas_pre,media_vga,faltas_vga,descricao_c3
3d688dbe74a84992ce43181e08c0f295,20151,0.0,0.0,0.0,66.0,0.1,30.0,NÃO PRESENTE
6c4acceb9b1288b61d893dc1b5005764,20151,0.0,0.0,5.3,16.0,3.1,0.0,NÃO PRESENTE
bb67c2ca87d0e1fcf027b2f0f6df4221,20151,8.5,0.0,9.7,16.0,6.3,0.0,NÃO PRESENTE
9897eefc366f1f546e5340390c3df0cd,20151,1.3,0.0,5.0,14.0,1.2,0.0,NÃO PRESENTE
859abe9fcb5769f73f54cba6592b81af,20151,1.7,0.0,5.3,2.0,1.3,0.0,NÃO PRESENTE
4847ea230075170dc33c8607eab37780,20151,8.0,0.0,6.8,0.0,5.3,0.0,APROVADO POR NOTA
10bd3053637b8e5150a822396f62f372,20151,7.2,0.0,6.3,4.0,6.7,0.0,NÃO PRESENTE
d00171e04d77a7994414014d941baf8c,20151,10.0,0.0,7.2,0.0,6.5,0.0,APROVADO POR NOTA
87c8ed9b5ee46a87b620af169806703f,20151,7.8,0.0,10.0,0.0,6.8,0.0,APROVADO POR NOTA
3ff085f94a31cdddd21d355d0d8f6438,20151,10.0,0.0,8.8,4.0,8.1,0.0,APROVADO POR NOTA
bb7bc1c9d40935fe8d7d76f83d39ee62,20151,10.0,0.0,7.7,0.0,6.1,0.0,APROVADO
25c8907b429c654ed810ca9031c14549,20151,1.3,0.0,2.2,0.0,1.5,0.0,NÃO PRESENTE
82066df556befa4882980ed00899a870,20151,0.0,32.0,1.8,42.0,0.0,30.0,NÃO PRESENTE
13632b83e2828cf1f1e9bfea313476af,20151,0.0,34.0,0.2,40.0,0.2,0.0,NÃO PRESENTE
9350b162f828ced95c6a20648678b201,20151,3.5,0.0,1.3,16.0,1.2,0.0,NÃO PRESENTE
ec85838da3203031d69a99d50ec0bcf6,20151,0.0,0.0,5.0,0.0,5.8,0.0,NÃO PRESENTE
af06bc7237db788f380924c0bdc5c5ae,20151,1.0,0.0,0.2,26.0,0.6,0.0,NÃO PRESENTE
444892fa5cd6a07ffdda75f7c4a196d5,20151,0.0,0.0,2.5,38.0,0.6,0.0,NÃO PRESENTE
100914c9af99e164eb676e05676b12fa,20151,0.0,34.0,1.5,42.0,0.0,30.0,NÃO PRESENTE
97afe16117f9727970d743e234e443ec,20151,0.0,76.0,0.6,0.0,0.4,0.0,NÃO PRESENTE
d82319c3c4e183a5ba1ef14074abea7a,20151,0.0,34.0,1.8,10.0,0.4,0.0,NÃO PRESENTE
ff8e4e7c73c14e26ad65865269ead334,20151,2.0,0.0,5.2,0.0,0.3,0.0,NÃO PRESENTE
e24ca40d6a11fc91f46e9fd8f135d3b0,20151,0.0,0.0,6.1,4.0,2.3,0.0,NÃO PRESENTE
db1487ab08945b94e789c7741f0f226a,20151,0.0,34.0,2.7,26.0,1.3,0.0,NÃO PRESENTE
c3040a6592ef2cb2304a46f27c36a067,20151,3.3,0.0,6.6,4.0,5.0,0.0,NÃO PRESENTE
601900921182f89571029a9e59d3cc1f,20151,0.0,0.0,5.3,22.0,0.0,30.0,NÃO PRESENTE
ceae4b41ca2db4afc06bf794e44d6ab3,20151,0.0,0.0,1.3,10.0,3.4,0.0,NÃO PRESENTE
d1b2eebf5d6c544bb2bcee0f2247424e,20151,8.7,0.0,6.8,4.0,5.0,0.0,NÃO PRESENTE
c8e7ab417bcd422a1f85d6b99ceeba1a,20151,1.3,0.0,5.4,8.0,1.0,0.0,NÃO PRESENTE
0ab1e135c2ac2f12cc71d50b5d0865c7,20151,0.0,0.0,2.4,6.0,0.2,0.0,NÃO PRESENTE
a9b45c955405bb887995bdb79054e458,20151,7.7,0.0,5.9,8.0,6.4,0.0,NÃO PRESENTE
12e0d7dcac955cac21777761a52a6d0a,20151,6.5,0.0,6.4,8.0,1.8,0.0,APROVADO POR NOTA
db6560af2b1538425add4e182fe0927e,20151,10.0,0.0,7.5,2.0,5.3,0.0,APROVADO
abba98a6ff5d8cc973ae927a36e7310d,20151,0.0,0.0,0.4,18.0,0.6,0.0,NÃO PRESENTE
88864307748a9d6a1e8af90493d395ac,20151,7.5,0.0,8.2,0.0,5.5,0.0,NÃO PRESENTE
9e7ca575a9f19958c10d6026ed22a876,20151,6.8,0.0,8.7,14.0,5.7,0.0,NÃO PRESENTE
a658338e34ddaa5875747f36c334a1bb,20151,7.2,0.0,5.9,16.0,4.1,0.0,NÃO PRESENTE
f7da15d2e7a89527a0fcac79e9160179,20151,8.3,0.0,6.9,4.0,2.6,0.0,NÃO PRESENTE
9b141dc8a9bde036ab6c3d0caa25f199,20151,7.2,0.0,7.4,0.0,8.3,0.0,REPROVADO
40e4720f53c067cf5ec56eb0f194c32d,20151,10.0,0.0,8.7,4.0,6.7,0.0,APROVADO POR NOTA
7d744591f45bd39529003ebb7e76cbbe,20151,0.0,32.0,4.1,12.0,1.6,0.0,NÃO PRESENTE
e749444b410bab4bf5c2a86bffaee6c7,20151,9.3,0.0,8.5,0.0,5.3,0.0,APROVADO
cf8f762a5b095396a595e9b99558dd4e,20151,6.0,0.0,5.7,0.0,0.8,0.0,APROVADO POR NOTA
a33cf7b06a80d07439948d5471ca7413,20151,7.7,0.0,5.9,6.0,6.2,0.0,NÃO PRESENTE
09d6c8b7222c0e54190405cfc9682f6d,20151,10.0,0.0,8.7,2.0,6.1,0.0,APROVADO
fdbc55a46a0f83faba352912e61ca710,20151,8.3,0.0,3.0,0.0,1.5,0.0,NÃO PRESENTE
b9fa0e29a1a8b04f2829887aa7f67504,20151,0.0,32.0,0.0,66.0,0.0,30.0,NÃO PRESENTE
168cd342fa825014aa410bee3127c557,20151,0.0,34.0,0.0,66.0,0.0,30.0,NÃO PRESENTE
2c82f915d5a13583a623d0faebdbb8ba,20151,0.0,0.0,0.0,52.0,0.0,0.0,NÃO PRESENTE
577923be3aa36453b7dabc3b8869428e,20151,1.3,0.0,6.0,8.0,5.0,0.0,NÃO PRESENTE
d4ada120bb8b730555873599071c98b5,20151,8.3,0.0,9.4,22.0,6.4,0.0,NÃO PRESENTE
7526a05f81c631da3dc6a9569c3ce34e,20151,3.3,0.0,7.0,0.0,5.3,0.0,NÃO PRESENTE
e12d916f0156a9efd1833102851ddd0e,20151,2.7,0.0,2.2,12.0,3.5,0.0,NÃO PRESENTE
f0073932c9e8b0752ee731d634454689,20151,0.0,46.0,0.0,68.0,0.0,30.0,NÃO PRESENTE
ba02b11a4ffc35a12e16ba6c247c7646,20151,0.0,32.0,2.1,20.0,0.5,0.0,NÃO PRESENTE
537992f699ecf55919cc7eb861a2f198,20151,0.0,34.0,0.0,48.0,0.0,30.0,NÃO PRESENTE
a44d35b269e181e64f3c8fbf137b25eb,20151,0.0,34.0,0.0,42.0,0.0,0.0,NÃO PRESENTE
596cb122b574f93e18445cc22ea3f61e,20151,0.0,42.0,0.0,44.0,2.0,0.0,NÃO PRESENTE
0b3d7f76a836558a4915cbc5e79a30c2,20151,3.8,0.0,5.8,4.0,0.3,0.0,NÃO PRESENTE
cb6b0df9d57be96835f106aa4904adbc,20151,0.0,34.0,0.8,32.0,1.0,0.0,NÃO PRESENTE
4f95787ff326a057d663b8329fed5fa4,20151,0.0,44.0,0.3,42.0,0.0,30.0,NÃO PRESENTE
37e1bbca9fd7511f9e67979487b2fabd,20151,1.3,0.0,5.3,2.0,0.3,0.0,NÃO PRESENTE
797e053c6973ff6bbbe23888f6a4eb73,20151,8.7,0.0,6.3,6.0,6.5,0.0,NÃO PRESENTE
74620b4149f41d3ee42335aa8918a48a,20151,6.7,0.0,5.1,4.0,1.8,0.0,NÃO PRESENTE
034a1bd35a241400cec8a2268261f8a0,20151,0.7,0.0,6.4,2.0,1.7,0.0,NÃO PRESENTE
fbc5f861aacf07f8af2ce81e127793a4,20151,0.0,0.0,0.0,62.0,0.0,0.0,NÃO PRESENTE
251d2e694ff4bf253bba2ee6446b51c9,20151,0.0,0.0,1.8,0.0,2.0,0.0,NÃO PRESENTE
ae8bb5f2600aa9d51eedf5bb8beedd0e,20151,0.0,0.0,4.3,2.0,0.7,0.0,NÃO PRESENTE
6872520b71e1201c47155d55325ded0f,20151,0.0,0.0,2.5,2.0,0.0,0.0,NÃO PRESENTE
2a9590c18fa91de4bca5d292430ecb0a,20151,0.0,32.0,1.7,4.0,1.2,0.0,NÃO PRESENTE
5f11ef3327d0a4a7dd0ad2634b3238f9,20151,4.2,0.0,5.0,20.0,2.1,0.0,NÃO PRESENTE
4dd764ff30ca9db7e658c1ad4857979c,20151,4.8,0.0,4.7,2.0,1.4,0.0,NÃO PRESENTE
ee0a2c9123e45d2e9e670bc8d39da324,20151,9.2,0.0,7.2,6.0,5.0,0.0,APROVADO
cc4746acf2128c14bc833524b439773d,20151,7.2,0.0,6.2,6.0,3.8,0.0,APROVADO POR NOTA
67a850f4542904b8cc0ea8b821ec4bd1,20151,1.1,0.0,0.0,10.0,3.3,24.0,NÃO PRESENTE
